band,n,median_price,p10,p90,median_km,median_baht_per_km,vehicle_class,method,base_fare,rate_per_km,drop_fee,r2
800-1500,9,35730.0,34916.6,43500.0,908.426,39.33176725456999,18W dry,Own trips,7067.90328683544,30.73348355012338,0.0,0.9592571780244914
50-100,5,7721.0,7721.0,8381.0,59.35,130.09267059814658,18W head,Borrowed – few trips,4324.471831074874,35.982530158190194,-1034.0708227845878,0.4382723436663668
100-200,14,9547.0,9547.0,9737.0,150.421,63.46853165448974,18W head,Borrowed – few trips,4324.471831074874,35.982530158190194,-1034.0708227845878,0.4382723436663668
200-400,1,12589.0,12589.0,12589.0,291.168,43.236207275524784,18W head,Borrowed – few trips,4324.471831074874,35.982530158190194,-1034.0708227845878,0.4382723436663668
25-50,4,7540.0,7438.5,7540.0,41.2565,182.09125834312505,18W reefer,Own trips,7439.853835880463,28.145904505547605,0.0,0.7311563645912916
50-100,156,8961.0,8570.0,9092.0,50.575,177.1824023727138,18W reefer,Own trips,7439.853835880463,28.145904505547605,0.0,0.7311563645912916
100-200,261,11700.0,10079.0,12402.0,149.271,81.42738267395923,18W reefer,Own trips,7439.853835880463,28.145904505547605,0.0,0.7311563645912916
200-400,1,23213.0,23213.0,23213.0,288.48400000000004,80.46546775557742,18W reefer,Own trips,7439.853835880463,28.145904505547605,0.0,0.7311563645912916
0-25,6,6622.5,4793.5,7800.0,12.945,602.5492468134414,22W dry,Own trips,8165.611196365036,25.66113708419931,-1264.5383801662686,0.4742410262500326
50-100,20,11500.0,10500.0,12650.0,66.665,172.50431260781517,22W dry,Own trips,8165.611196365036,25.66113708419931,-1264.5383801662686,0.4742410262500326
100-200,719,11583.0,11433.0,12753.0,149.271,77.5971220129831,22W dry,Own trips,8165.611196365036,25.66113708419931,-1264.5383801662686,0.4742410262500326
400-800,2,23385.0,23385.0,23385.0,493.15,47.41964919395721,22W dry,Own trips,8165.611196365036,25.66113708419931,-1264.5383801662686,0.4742410262500326
0-25,73,7020.0,6630.0,9300.0,15.635,448.9926447073873,22W head,Own trips,6852.703056068138,21.83802681857419,-2037.8203235556668,0.5776754671655635
25-50,42,8300.0,5800.0,9440.0,39.306,201.68354484467804,22W head,Own trips,6852.703056068138,21.83802681857419,-2037.8203235556668,0.5776754671655635
50-100,483,7200.0,5800.0,9780.000000000002,79.431,95.6752370687045,22W head,Own trips,6852.703056068138,21.83802681857419,-2037.8203235556668,0.5776754671655635
100-200,1270,7700.0,6200.0,10600.0,136.882,57.54567688102432,22W head,Own trips,6852.703056068138,21.83802681857419,-2037.8203235556668,0.5776754671655635
200-400,511,12480.0,6200.0,16700.0,234.241,49.2676087279588,22W head,Own trips,6852.703056068138,21.83802681857419,-2037.8203235556668,0.5776754671655635
400-800,7,6500.0,4209.4400000000005,19220.000000000004,464.023,14.00792633123789,22W head,Own trips,6852.703056068138,21.83802681857419,-2037.8203235556668,0.5776754671655635
800-1500,22,7400.0,1936.5,7500.0,860.469,8.043115404654845,22W head,Own trips,6852.703056068138,21.83802681857419,-2037.8203235556668,0.5776754671655635
