Car Type,Ori,Dest,Total KM,Per km (THB/km),Per-km price,Existing pair price,Existing pair price (min-max),Divergence (THB),Divergence (%),Trips
,,คอนโด M สีลม,36.222,37.42844340838277,1355.7330771384406,3240,"3,240-3,240",-1884.2669228615594,-58.15638650807282,1
,สแนคกี้ไทย ปทุมธานี,PCS (ห้องเย็นแปซิฟิค),88.578,37.42844340838277,3315.336660227729,1944,"1,944-1,944",1371.3366602277292,70.54200927097372,2
,สแน็คกี้,PCS (ห้องเย็นแปซิฟิค),88.578,37.42844340838277,3315.336660227729,1800,"1,800-1,800",1515.3366602277292,84.18537001265163,1
,ห้องเย็นรักชัย (มหาชัย),S&P ลาดระบัง (Pre - cool),74.735,37.42844340838277,2797.2147181254863,1600,"1,600-1,600",1197.2147181254863,74.8259198828429,1
,เวิลด์แนชเชอรัลฟู้ด ลำพูน,ไทยโยโกเรสำโรง,675.102,37.42844340838277,25268.017001886023,10000,"10,000-10,000",15268.017001886023,152.68017001886022,1
,แหลมทองผลิตภัณฑ์อาหาร สาย5,PCS (ห้องเย็นแปซิฟิค),20.678,37.42844340838277,773.9453527985389,1400,"1,400-1,400",-626.0546472014611,-44.71818908581865,1
,โชคมหาชัยมารีน,BCS bangna Km.18,73.082,37.42844340838277,2735.345501171429,2700,"2,700-2,700",35.34550117142908,1.3090926359788546,1
,โชคสมุทรมารีน,สายนนทบุรี,53.598,37.42844340838277,2006.0897098024996,3361,"3,243-3,479",-1354.9102901975004,-40.312713186477254,2
,,เซ็นทรัล แจ้งวัฒนะ,57.932,37.42844340838277,2168.3045835344305,2604,"2,592-2,616",-435.69541646556945,-16.731774825866722,2
,,(CP RAM) ลาดหลุมแก้ว,66.795,37.42844340838277,2500.032877462927,3500,"3,500-3,500",-999.967122537073,-28.570489215344942,1
,,JPK (เจพีเค โคลด์ สโตเรจ),64.134,37.42844340838277,2400.4357895532207,2300,"2,300-2,300",100.43578955322073,4.366773458835684,1
,ไทย กรีน,PCS (ห้องเย็นแปซิฟิค),14.242,37.42844340838277,533.0558910221874,1447,"1,447-1,447",-913.9441089778126,-63.16130677109969,1
6W dry,LKB 2,CSM,464.167,27.163849563620072,12608.562560396836,5000,"5,000-5,000",7608.5625603968365,152.17125120793673,1
,PCS (ห้องเย็นแปซิฟิค),PCS (ห้องเย็นแปซิฟิค),170.013,27.163849563620072,4618.20755585974,7300,"7,300-7,300",-2681.79244414026,-36.736882796441925,1
,,TAKO (ทาโกฟู้ดส์),39.997,27.163849563620072,1086.4724909961121,2500,"2,500-2,500",-1413.5275090038879,-56.54110036015552,1
,"Rhenus Warehousing Solutions, Bangna KM.19 Warehouse",Centralเชียงใหม่ - เทอดวลัย,716.209,27.163849563620072,19454.993532110766,17444,"17,444-17,444",2010.993532110766,11.528282114828972,1
